plan_sha256,contract_file_sha256,benchmark_sha256,evidence_sha256_270m,evidence_sha256_1b,evidence_sha256_4b,implementation_git_revision,scope,group,model,metric,value
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,false_accept_remaining_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,newly_admitted_incorrect_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,counterfactual_false_accept_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,correct_rejected_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,newly_rejected_correct_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,newly_recovered_correct_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,false_accept_catch_rate,null
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,precision_among_contract_accepted_observations,1.0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,baseline_gate_survived_count,4
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,counterfactual_gate_survived_count,4
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,raw_contract_rejection_reason_counts,"{""ACCEPTED"": 5}"
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,baseline_gate_rejection_reason_counts,"{""SURVIVED"": 4, ""TTFT_EXCEEDED"": 1}"
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,classification_label_conformant_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,classification_label_nonconformant_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,classification_oracle_correct_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,classification_oracle_incorrect_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,classification_wrong_permitted_label_accepted_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,paired_transition_counts,"{""baseline_fail__counterfactual_fail__oracle_correct"": 1, ""baseline_fail__counterfactual_fail__oracle_incorrect"": 0, ""baseline_fail__counterfactual_survive__oracle_correct"": 0, ""baseline_fail__counterfactual_survive__oracle_incorrect"": 0, ""baseline_survive__counterfactual_fail__oracle_correct"": 0, ""baseline_survive__counterfactual_fail__oracle_incorrect"": 0, ""baseline_survive__counterfactual_survive__oracle_correct"": 4, ""baseline_survive__counterfactual_survive__oracle_incorrect"": 0}"
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,identity_false_accept_before,true
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,identity_counterfactual_false_accept,true
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_bullets_stages,gemma3:4b,transition_count_sum,5
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,observation_count,5
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,oracle_correct_count,5
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,oracle_incorrect_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,contract_accept_count,5
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,contract_reject_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,false_accept_count_before_replay,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,false_accept_caught_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,false_accept_remaining_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,newly_admitted_incorrect_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,counterfactual_false_accept_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,correct_rejected_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,newly_rejected_correct_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,newly_recovered_correct_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,false_accept_catch_rate,null
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,precision_among_contract_accepted_observations,1.0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,baseline_gate_survived_count,5
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,counterfactual_gate_survived_count,5
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,raw_contract_rejection_reason_counts,"{""ACCEPTED"": 5}"
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,baseline_gate_rejection_reason_counts,"{""SURVIVED"": 5}"
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,task_id_by_model,oos_extract_book,gemma3:4b,classification_label_conformant_count,0
